country_code,year,powertrain,registrations
LU,2023,Diesel,10265.0
LU,2023,HEV,25781.0
LU,2023,Other,1.0
LU,2023,PHEV,4806.0
LV,2015,BEV,17.0
LV,2015,Diesel,6923.0
LV,2015,HEV,7211.0
LV,2015,Other,140.0
LV,2015,PHEV,0.0
LV,2016,BEV,19.0
LV,2016,Diesel,7287.0
LV,2016,HEV,9381.0
LV,2016,Other,77.0
LV,2016,PHEV,0.0
LV,2017,BEV,41.0
LV,2017,Diesel,7446.0
LV,2017,HEV,9489.0
LV,2017,Other,78.0
LV,2018,BEV,78.0
LV,2018,Diesel,6807.0
LV,2018,HEV,10240.0
LV,2018,Other,56.0
LV,2018,PHEV,0.0
LV,2019,BEV,116.0
LV,2019,Diesel,6893.0
LV,2019,HEV,11393.0
LV,2019,Other,120.0
LV,2019,PHEV,0.0
LV,2020,BEV,351.0
LV,2020,Diesel,4870.0
LV,2020,HEV,8363.0
LV,2020,Other,106.0
LV,2020,PHEV,0.0
LV,2021,BEV,480.0
LV,2021,Diesel,3923.0
LV,2021,HEV,9935.0
LV,2021,Other,264.0
LV,2022,BEV,1069.0
LV,2022,Diesel,3445.0
LV,2022,HEV,12395.0
LV,2022,Other,320.0
LV,2022,PHEV,301.0
LV,2023,BEV,1629.0
LV,2023,Diesel,3729.0
LV,2023,HEV,13379.0
LV,2023,Other,388.0
LV,2023,PHEV,352.0
MD,2015,BEV,13.0
MD,2015,Diesel,8407.0
MD,2015,Other,1505.0
MD,2016,BEV,14.0
MD,2016,Diesel,7908.0
MD,2016,Other,1880.0
MD,2017,BEV,37.0
MD,2017,Diesel,24132.0
MD,2017,Other,4280.0
MD,2018,BEV,42.0
MD,2018,Diesel,13821.0
MD,2018,Other,3894.0
MD,2019,BEV,185.0
MD,2019,Diesel,17550.0
MD,2019,Other,5377.0
MD,2020,BEV,211.0
MD,2020,Diesel,17019.0
MD,2020,Other,4661.0
MD,2021,BEV,396.0
MD,2021,Diesel,21624.0
MD,2021,Other,7161.0
MD,2022,BEV,729.0
MD,2022,Diesel,16781.0
MD,2022,Other,5498.0
MD,2023,BEV,1012.0
MD,2023,Diesel,26266.0
MD,2023,Other,7793.0
ME,2016,Diesel,1288.0
ME,2016,HEV,999.0
ME,2016,Other,13.0
ME,2017,BEV,4.0
ME,2017,Diesel,1662.0
ME,2017,HEV,1313.0
ME,2018,BEV,1.0
ME,2018,Diesel,1599.0
ME,2018,HEV,1625.0
